"num_dpt","date","nbr_entps","nbr_entps_sans_sal","nom_dpt.x","plus_50_ans","chom_actv","longue_duree","moins_25_ans","nbr_cae","name","mail","phone","address","city","postal_code","region","website","description","lon","lat"
"01",2011-10-01,2116,301,"Ain",5840,30250,9490,5100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2011-11-01,2115,252,"Ain",5980,30720,9540,5150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2011-12-01,2073,280,"Ain",6040,30890,9580,5200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-01-01,1914,242,"Ain",6110,31040,9660,5230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-02-01,2372,366,"Ain",6190,31200,9730,5280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-03-01,2184,305,"Ain",6250,31350,9750,5260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-04-01,2064,292,"Ain",6370,31560,9960,5240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-05-01,1973,276,"Ain",6420,31900,10140,5280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-06-01,1917,263,"Ain",6570,32300,10250,5410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-07-01,2084,287,"Ain",6680,32680,10650,5570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-08-01,1794,220,"Ain",6790,32950,10910,5560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-09-01,1959,281,"Ain",6860,33320,11070,5610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-10-01,2059,301,"Ain",6980,33640,11320,5660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-11-01,2013,285,"Ain",7020,34030,11540,5750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2012-12-01,1962,189,"Ain",7080,34120,11810,5720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-01-01,2469,298,"Ain",7150,34680,12070,5850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-02-01,2370,253,"Ain",7220,35050,12340,5960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-03-01,2505,323,"Ain",7230,35150,12410,5910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-04-01,2349,276,"Ain",7360,35670,12710,5980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-05-01,2452,250,"Ain",7470,35900,12880,6070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-06-01,2252,239,"Ain",7550,36060,13090,6090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-07-01,2205,243,"Ain",7590,36270,13410,6080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-08-01,2010,186,"Ain",7600,35850,13430,5860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-09-01,2528,333,"Ain",7680,36180,13570,5870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-10-01,2617,303,"Ain",7730,36280,13640,5850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-11-01,2445,293,"Ain",7790,36270,13710,5820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2013-12-01,2244,204,"Ain",7870,36410,13850,5850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-01-01,2607,331,"Ain",7910,36480,13900,5870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-02-01,2364,262,"Ain",7970,36610,13960,5930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-03-01,2518,328,"Ain",8050,36690,14020,5870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-04-01,2427,285,"Ain",8060,36900,14180,5840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-05-01,2237,232,"Ain",8210,37220,14250,5880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-06-01,2428,290,"Ain",8300,37690,14380,5950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-07-01,2363,264,"Ain",8300,38000,14420,6060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-08-01,2108,202,"Ain",8290,38130,14460,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-09-01,2359,313,"Ain",8370,38870,14630,6320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-10-01,2555,341,"Ain",8390,38880,14700,6270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-11-01,2243,224,"Ain",8460,39210,14810,6320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2014-12-01,2321,245,"Ain",8540,39610,14980,6420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-01-01,2348,254,"Ain",8650,39860,15160,6440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-02-01,2511,263,"Ain",8760,40420,15350,6620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-03-01,2503,256,"Ain",8840,40730,15550,6690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-04-01,2431,254,"Ain",8940,41170,15660,6650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-05-01,2183,184,"Ain",9060,41570,15930,6760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-06-01,2327,218,"Ain",9100,41490,16120,6640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-07-01,2135,177,"Ain",9210,41640,16300,6600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-08-01,2085,156,"Ain",9330,41880,16590,6560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-09-01,2445,279,"Ain",9440,42040,16740,6590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-10-01,2436,248,"Ain",9480,42100,16850,6570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-11-01,2392,233,"Ain",9580,42370,17010,6580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2015-12-01,2527,273,"Ain",9680,42650,17180,6560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-01-01,2608,247,"Ain",9670,42690,17280,6520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-02-01,2430,225,"Ain",9700,42910,17460,6570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-03-01,2545,267,"Ain",9730,42850,17470,6540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-04-01,2406,253,"Ain",9750,42720,17490,6540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-05-01,2594,239,"Ain",9800,43090,17380,6620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-06-01,2582,257,"Ain",9780,43190,17320,6670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-07-01,2497,205,"Ain",9830,43330,17260,6680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-08-01,2489,230,"Ain",10000,43710,17340,6700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-09-01,2679,297,"Ain",9900,43320,17260,6490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-10-01,2405,223,"Ain",10030,43440,17370,6460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-11-01,2562,239,"Ain",10090,43280,17330,6400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2016-12-01,2522,246,"Ain",10120,43210,17120,6410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2017-01-01,2676,271,"Ain",10200,43250,17110,6380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2017-02-01,2550,262,"Ain",10210,43300,17050,6430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2017-03-01,2613,242,"Ain",10170,43250,16960,6330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2017-04-01,2515,228,"Ain",10280,43560,17060,6350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2017-05-01,2518,221,"Ain",10370,43940,17220,6460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2017-06-01,2598,245,"Ain",10360,44130,17290,6480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2017-07-01,2591,226,"Ain",10500,44640,17460,6660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",2017-08-01,2493,213,"Ain",10630,44870,17730,6520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2011-10-01,1910,123,"Aube",4470,21550,7700,3680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2011-11-01,2205,145,"Aube",4540,21750,7870,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2011-12-01,1694,96,"Aube",4620,21870,7900,3730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-01-01,1979,138,"Aube",4690,22100,8120,3730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-02-01,1832,126,"Aube",4760,22250,8230,3780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-03-01,1934,128,"Aube",4780,22310,8270,3790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-04-01,1811,107,"Aube",4810,22330,8420,3770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-05-01,1733,127,"Aube",4890,22540,8490,3900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-06-01,1891,123,"Aube",4980,22890,8620,3960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-07-01,1666,96,"Aube",5080,23270,8740,4050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-08-01,1747,120,"Aube",5090,23380,8870,4070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-09-01,1726,118,"Aube",5190,23590,9050,4120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-10-01,1833,134,"Aube",5240,23890,9160,4150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-11-01,1546,116,"Aube",5320,24250,9280,4260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012-12-01,1403,95,"Aube",5370,24390,9340,4240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-01-01,1634,143,"Aube",5440,24740,9550,4350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-02-01,1647,97,"Aube",5490,25020,9750,4390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-03-01,1646,127,"Aube",5570,25180,9910,4420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-04-01,1694,119,"Aube",5580,25350,10090,4440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-05-01,1670,114,"Aube",5610,25290,10210,4380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-06-01,1534,106,"Aube",5680,25370,10360,4390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-07-01,1563,110,"Aube",5700,25460,10450,4320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-08-01,1517,82,"Aube",5610,25270,10460,4210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-09-01,1605,118,"Aube",5810,26170,10770,4440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-10-01,1634,139,"Aube",5840,26100,10800,4380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-11-01,1641,88,"Aube",5880,26260,10970,4450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-12-01,1630,85,"Aube",5940,26400,11060,4440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-01-01,1697,139,"Aube",6020,26660,11120,4480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-02-01,1793,129,"Aube",6120,26740,11120,4420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-03-01,1644,113,"Aube",6180,26820,11170,4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-04-01,1716,124,"Aube",6180,26870,11340,4360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-05-01,1508,114,"Aube",6280,27130,11490,4320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-06-01,1555,106,"Aube",6380,27400,11730,4370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-07-01,1471,128,"Aube",6440,27650,11940,4430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-08-01,1428,97,"Aube",6330,27510,11950,4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-09-01,1380,110,"Aube",6470,27920,12160,4490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-10-01,1483,133,"Aube",6520,28130,12330,4540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-11-01,1344,106,"Aube",6580,28380,12430,4520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-12-01,1483,124,"Aube",6630,28640,12450,4570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-01-01,1463,90,"Aube",6690,28750,12690,4540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-02-01,1410,106,"Aube",6720,28980,12850,4570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-03-01,1571,77,"Aube",6820,29290,13030,4570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-04-01,1541,75,"Aube",6900,29550,13170,4590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-05-01,1496,85,"Aube",6960,29980,13490,4680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-06-01,1573,104,"Aube",6970,29850,13460,4610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-07-01,1591,60,"Aube",7090,29990,13590,4580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-08-01,1462,66,"Aube",7060,29710,13600,4460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-09-01,1656,108,"Aube",7130,29840,13720,4550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-10-01,1710,113,"Aube",7140,29790,13790,4470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-11-01,1591,76,"Aube",7220,29720,13900,4360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-12-01,1663,72,"Aube",7230,29950,13850,4430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-01-01,1800,83,"Aube",7260,29920,13910,4390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-02-01,1735,79,"Aube",7250,29910,13930,4410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-03-01,1767,117,"Aube",7240,29990,13940,4370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-04-01,1582,138,"Aube",7270,29900,13730,4440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-05-01,1731,85,"Aube",7290,30000,13540,4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-06-01,1767,77,"Aube",7350,30330,13460,4510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-07-01,1603,72,"Aube",7440,30480,13500,4420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-08-01,1622,53,"Aube",7380,30500,13430,4390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-09-01,1813,113,"Aube",7530,30550,13440,4260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-10-01,1747,91,"Aube",7520,30600,13470,4250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-11-01,1713,102,"Aube",7590,30610,13470,4280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-12-01,1631,87,"Aube",7630,30540,13430,4220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2017-01-01,1853,91,"Aube",7690,30700,13450,4220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2017-02-01,1701,94,"Aube",7650,30830,13530,4290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2017-03-01,1914,107,"Aube",7690,30640,13730,4240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2017-04-01,1849,88,"Aube",7710,30900,13880,4380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2017-05-01,1874,86,"Aube",7690,30880,14100,4310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2017-06-01,2027,97,"Aube",7650,30810,14160,4250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2017-07-01,1968,61,"Aube",7710,31070,14340,4330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2017-08-01,1996,72,"Aube",7670,31140,14410,4330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2011-10-01,4747,222,"Aude",5940,27840,10290,4400,1,"vivela narbonne",NA,"04 11 23 22 63","30 Avenue du Dr Paul Pompidor","Narbonne","11100","Occitanie",NA,NA,2.9785486,43.182186
"11",2011-11-01,6036,217,"Aude",6020,28180,10370,4440,1,"vivela narbonne",NA,"04 11 23 22 63","30 Avenue du Dr Paul Pompidor","Narbonne","11100","Occitanie",NA,NA,2.9785486,43.182186
"11",2011-12-01,5570,199,"Aude",6120,28600,10540,4490,1,"vivela narbonne",NA,"04 11 23 22 63","30 Avenue du Dr Paul Pompidor","Narbonne","11100","Occitanie",NA,NA,2.9785486,43.182186
"11",2012-01-01,5860,273,"Aude",6200,28740,10640,4490,1,"vivela narbonne",NA,"04 11 23 22 63","30 Avenue du Dr Paul Pompidor","Narbonne","11100","Occitanie",NA,NA,2.9785486,43.182186
"11",2012-02-01,5797,199,"Aude",6270,28900,10890,4480,1,"vivela narbonne",NA,"04 11 23 22 63","30 Avenue du Dr Paul Pompidor","Narbonne","11100","Occitanie",NA,NA,2.9785486,43.182186
